N,n,max_left
0,468.0,-17
1,19144.0,-160
2,382.0,-12
3,218.0,-6
4,2046.0,-49
5,1606.0,-28
6,69524.0,-250
7,314.0,-10
8,328.0,-3
9,268.0,-12
10,306.0,-20
11,41726.0,-255
12,77496.0,-316
13,13848.0,-107
14,88.0,-4
15,686.0,-15
16,758.0,-6
17,86.0,-1
18,inf,-1040
19,inf,-539
20,2936.0,-49
21,1168.0,-23
22,1936.0,-29
23,1608.0,-24
24,436.0,-16
25,302.0,-5
26,28024.0,-142
27,154.0,-1
28,5240.0,-88
29,90.0,1
30,4268.0,-84
31,386.0,-3
32,2458.0,-49
33,6844.0,-58
34,832.0,-8
35,626.0,-16
36,174.0,-3
37,1304.0,-33
38,5528.0,-31
39,inf,-476
40,1138.0,-27
41,inf,-547
42,90.0,1
43,inf,-492
44,432.0,-8
45,2234.0,-44
46,838.0,-10
47,128.0,-1
48,234.0,-8
49,536.0,-16
50,612.0,-9
51,726.0,-18
52,5332.0,-62
53,734.0,-21
54,68.0,-1
55,3500.0,-50
56,54126.0,-171
57,212.0,-4
58,196.0,0
59,226.0,-13
60,284.0,-19
61,162.0,-10
62,612.0,-14
63,56514.0,-272
64,29250.0,-219
65,586.0,-4
66,392.0,-7
67,546.0,-8
68,22562.0,-144
69,80.0,0
70,316.0,-8
71,82.0,-3
72,550.0,-7
73,208.0,-5
74,640.0,-16
75,170.0,-1
76,4784.0,-57
77,416.0,-16
78,3042.0,-30
79,710.0,-18
80,104.0,-4
81,290.0,-4
82,1914.0,-26
83,292.0,-3
84,1894.0,-43
85,540.0,-4
86,2300.0,-34
87,214.0,-8
88,1348.0,-39
89,176.0,-8
90,1440.0,-17
91,94.0,1
92,186.0,-1
93,236.0,-4
94,1776.0,-30
95,462.0,-14
96,572.0,-22
97,89420.0,-337
98,640.0,-10
99,456.0,-8
